IP LINLIN
DP 312.0 1.901552e-09
DP 313.0 1.845597e-09
DP 314.0 1.791304e-09
DP 315.0 1.738625e-09
DP 316.0 1.687510e-09
DP 317.0 1.637912e-09
DP 318.0 1.589786e-09
DP 319.0 1.543087e-09
DP 320.0 1.497774e-09
DP 321.0 1.453803e-09
DP 322.0 1.411136e-09
DP 323.0 1.369733e-09
DP 324.0 1.329556e-09
DP 325.0 1.290568e-09
DP 326.0 1.252734e-09
DP 327.0 1.216020e-09
DP 328.0 1.180391e-09
DP 329.0 1.145815e-09
DP 330.0 1.112262e-09
DP 331.0 1.079700e-09
DP 332.0 1.048100e-09
DP 333.0 1.017432e-09
DP 334.0 9.876705e-10
DP 335.0 9.587868e-10
DP 336.0 9.307551e-10
DP 337.0 9.035502e-10
DP 338.0 8.771472e-10
DP 339.0 8.515225e-10
DP 340.0 8.266527e-10
DP 341.0 8.025155e-10
DP 342.0 7.790890e-10
DP 343.0 7.563521e-10
DP 344.0 7.342843e-10
DP 345.0 7.128657e-10
DP 346.0 6.920771e-10
DP 347.0 6.718997e-10
DP 348.0 6.523154e-10
DP 349.0 6.333066e-10
DP 350.0 6.148563e-10
DP 351.0 5.969477e-10
DP 352.0 5.795650e-10
DP 353.0 5.626925e-10
DP 354.0 5.463151e-10
DP 355.0 5.304181e-10
DP 356.0 5.149873e-10
DP 357.0 5.000090e-10
DP 358.0 4.854697e-10
DP 359.0 4.713564e-10
DP 360.0 4.576566e-10
DP 361.0 4.443581e-10
DP 362.0 4.314489e-10
DP 363.0 4.189175e-10
DP 364.0 4.067529e-10
DP 365.0 3.949442e-10
DP 366.0 3.834809e-10
DP 367.0 3.723527e-10
DP 368.0 3.615499e-10
DP 369.0 3.510628e-10
DP 370.0 3.408822e-10
DP 371.0 3.309989e-10
DP 372.0 3.214042e-10
DP 373.0 3.120897e-10
DP 374.0 3.030470e-10
DP 375.0 2.942682e-10
DP 376.0 2.857456e-10
DP 377.0 2.774715e-10
DP 378.0 2.694387e-10
DP 379.0 2.616401e-10
DP 380.0 2.540687e-10
DP 381.0 2.467180e-10
DP 382.0 2.395815e-10
DP 383.0 2.326527e-10
DP 384.0 2.259258e-10
DP 385.0 2.193946e-10
DP 386.0 2.130536e-10
DP 387.0 2.068970e-10
DP 388.0 2.009196e-10
DP 389.0 1.951160e-10
DP 390.0 1.894811e-10
DP 391.0 1.840101e-10
DP 392.0 1.786981e-10
DP 393.0 1.735404e-10
DP 394.0 1.685325e-10
DP 395.0 1.636701e-10
DP 396.0 1.589489e-10
DP 397.0 1.543648e-10
DP 398.0 1.499137e-10
DP 399.0 1.455918e-10
DP 400.0 1.413953e-10
DP 401.0 1.373205e-10
DP 402.0 1.333638e-10
DP 403.0 1.295219e-10
DP 404.0 1.257914e-10
DP 405.0 1.221689e-10
DP 406.0 1.186514e-10
DP 407.0 1.152359e-10
DP 408.0 1.119192e-10
DP 409.0 1.086986e-10
DP 410.0 1.055712e-10
DP 411.0 1.025343e-10
DP 412.0 9.958538e-11
DP 413.0 9.672172e-11
DP 414.0 9.394091e-11
DP 415.0 9.124052e-11
DP 416.0 8.861821e-11
DP 417.0 8.607171e-11
DP 418.0 8.359881e-11
DP 419.0 8.119737e-11
DP 420.0 7.886532e-11
DP 421.0 7.660063e-11
DP 422.0 7.440135e-11
DP 423.0 7.226558e-11
DP 424.0 7.019146e-11
DP 425.0 6.817721e-11
DP 426.0 6.622109e-11
DP 427.0 6.432140e-11
DP 428.0 6.247652e-11
DP 429.0 6.068485e-11
DP 430.0 5.894485e-11
DP 431.0 5.725501e-11
DP 432.0 5.561388e-11
DP 433.0 5.402005e-11
DP 434.0 5.247215e-11
DP 435.0 5.096884e-11
DP 436.0 4.950883e-11
DP 437.0 4.809087e-11
DP 438.0 4.671374e-11
DP 439.0 4.537626e-11
DP 440.0 4.407727e-11
DP 441.0 4.281567e-11
DP 442.0 4.159037e-11
DP 443.0 4.040031e-11
DP 444.0 3.924449e-11
DP 445.0 3.812191e-11
DP 446.0 3.703160e-11
DP 447.0 3.597264e-11
DP 448.0 3.494411e-11
DP 449.0 3.394515e-11
DP 450.0 3.297489e-11
DP 451.0 3.203250e-11
DP 452.0 3.111718e-11
DP 453.0 3.022814e-11
DP 454.0 2.936464e-11
DP 455.0 2.852592e-11
DP 456.0 2.771128e-11
DP 457.0 2.692002e-11
