start, stop
1.841776740000000000e+09, 1.841777220000000000e+09
1.841820420000000000e+09, 1.841820900000000000e+09
1.841864100000000000e+09, 1.841864580000000000e+09
1.841907780000000000e+09, 1.841908260000000000e+09
1.841951460000000000e+09, 1.841951940000000000e+09
1.841995140000000000e+09, 1.841995620000000000e+09
1.842038820000000000e+09, 1.842039300000000000e+09
1.842082500000000000e+09, 1.842082980000000000e+09
1.842126180000000000e+09, 1.842126660000000000e+09
1.842169860000000000e+09, 1.842170340000000000e+09
1.842213540000000000e+09, 1.842214020000000000e+09
1.842257220000000000e+09, 1.842257700000000000e+09
1.842300900000000000e+09, 1.842301380000000000e+09
1.842344580000000000e+09, 1.842345060000000000e+09
1.842388260000000000e+09, 1.842388740000000000e+09
1.842431940000000000e+09, 1.842432420000000000e+09
1.842475620000000000e+09, 1.842476100000000000e+09
1.842519300000000000e+09, 1.842519780000000000e+09
1.842562980000000000e+09, 1.842563460000000000e+09
1.842606660000000000e+09, 1.842607140000000000e+09
1.842650340000000000e+09, 1.842650820000000000e+09
1.842694020000000000e+09, 1.842694500000000000e+09
1.842737700000000000e+09, 1.842738180000000000e+09
1.842781380000000000e+09, 1.842781860000000000e+09
1.842825060000000000e+09, 1.842825540000000000e+09
1.842868740000000000e+09, 1.842869220000000000e+09
1.842912420000000000e+09, 1.842912900000000000e+09
1.842956100000000000e+09, 1.842956580000000000e+09
1.842999780000000000e+09, 1.843000260000000000e+09
1.843043460000000000e+09, 1.843043940000000000e+09
1.843087140000000000e+09, 1.843087620000000000e+09
1.843130820000000000e+09, 1.843131300000000000e+09
1.843174500000000000e+09, 1.843174980000000000e+09
1.843218180000000000e+09, 1.843218660000000000e+09
1.843261860000000000e+09, 1.843262340000000000e+09
1.843305540000000000e+09, 1.843306020000000000e+09
1.843349220000000000e+09, 1.843349700000000000e+09
1.843392900000000000e+09, 1.843393380000000000e+09
1.843436580000000000e+09, 1.843437060000000000e+09
